cpi_date,actual_cpi,forecast_cpi,surprise,nq_0829,nq_0835,nq_0845,nq_close,move_pts_5m,move_pct_5m,move_pts_15m,move_pct_15m,move_pts_close,move_pct_close,initial_direction,close_direction,direction_match,abs_surprise,abs_5m_move
4/10/2026,3.3,3.4,-0.1," 25,336.25 "," 25,303.00 "," 25,312.50 "," 25,284.25 ",-33.25,-0.13%,-23.75,-0.09%,-52.00,-0.21%,DOWN,DOWN,MATCH,0.1,0.13%
3/11/2026,2.4,2.4,0," 25,215.50 "," 25,166.75 "," 25,137.50 "," 25,188.50 ",-48.75,-0.19%,-78.00,-0.31%,-27.00,-0.11%,DOWN,DOWN,MATCH,0,0.19%
2/13/2026,2.4,2.5,-0.1," 24,921.75 "," 24,980.25 "," 24,975.00 "," 25,032.50 ",58.50,0.23%,53.25,0.21%,110.75,0.44%,UP,UP,MATCH,0.1,0.23%
1/13/2026,2.7,2.7,0," 26,127.25 "," 26,240.50 "," 26,201.50 "," 26,136.75 ",113.25,0.43%,74.25,0.28%,9.50,0.04%,UP,UP,MATCH,0,0.43%
12/18/2025,2.7,3.1,-0.4," 25,329.75 "," 25,377.25 "," 25,458.00 "," 25,461.50 ",47.50,0.19%,128.25,0.51%,131.75,0.52%,UP,UP,MATCH,0.4,0.19%
10/24/2025,3,3.1,-0.1," 25,832.25 "," 25,951.00 "," 25,946.25 "," 25,973.00 ",118.75,0.46%,114.00,0.44%,140.75,0.54%,UP,UP,MATCH,0.1,0.46%
9/11/2025,2.9,2.9,0," 24,654.50 "," 24,615.50 "," 24,633.25 "," 24,712.75 ",-39.00,-0.16%,-21.25,-0.09%,58.25,0.24%,DOWN,UP,NO,0,0.16%
8/12/2025,2.7,2.8,-0.1," 24,375.25 "," 24,488.50 "," 24,489.25 "," 24,640.50 ",113.25,0.46%,114.00,0.47%,265.25,1.09%,UP,UP,MATCH,0.1,0.46%
7/15/2025,2.7,2.6,0.1," 23,857.50 "," 23,894.00 "," 23,874.75 "," 23,758.50 ",36.50,0.15%,17.25,0.07%,-99.00,-0.41%,UP,DOWN,NO,0.1,0.15%
6/11/2025,2.4,2.5,-0.1," 22,879.50 "," 22,988.50 "," 22,973.75 "," 22,795.25 ",109.00,0.48%,94.25,0.41%,-84.25,-0.37%,UP,DOWN,NO,0.1,0.48%
